,name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average
538,Western Illinois University,539,"MACOMB, IL",B,57,15802,950-1150,MACOMB, IL,950,1150,1050.0
539,California State University - Fresno,540,"FRESNO, CA",B,58,6002,940-1130,FRESNO, CA,940,1130,1035.0
540,University of Texas - Rio Grande Valley,541,"EDINBURG, TX",B,80,4654,950-1130,EDINBURG, TX,950,1130,1040.0
541,Northwest Missouri State University,542,"MARYVILLE, MO",B,73,12765,1000-1240,MARYVILLE, MO,1000,1240,1120.0
542,Jacksonville University,543,"JACKSONVILLE, FL",B,92,24020,910-1160,JACKSONVILLE, FL,910,1160,1035.0
543,University of Wisconsin - Superior,544,"SUPERIOR, WI",B,82,12695,,SUPERIOR, WI,,,
544,Gallaudet University,545,"WASHINGTON, DC",B,61,15639,780-1040,WASHINGTON, DC,780,1040,910.0
545,Concordia University - Wisconsin,546,"MEQUON, WI",B,64,25175,898-1156,MEQUON, WI,898,1156,1027.0
546,Kent State University,547,"KENT, OH",B,86,18643,1040-1230,KENT, OH,1040,1230,1135.0
547,William Jewell College,548,"LIBERTY, MO",B,46,23437,1080-1300,LIBERTY, MO,1080,1300,1190.0
548,University of Mount Union,549,"ALLIANCE, OH",B,77,23583,990-1190,ALLIANCE, OH,990,1190,1090.0
549,CUNY Brooklyn College,550,"BROOKLYN, NY",B,45,3805,1040-1220,BROOKLYN, NY,1040,1220,1130.0
550,Bethany Lutheran College,551,"MANKATO, MN",B,73,17580,950-1150,MANKATO, MN,950,1150,1050.0
551,Transylvania University,552,"LEXINGTON, KY",B,90,25779,1080-1350,LEXINGTON, KY,1080,1350,1215.0
552,King University - Tennessee,553,"BRISTOL, TN",B,62,22098,990-1200,BRISTOL, TN,990,1200,1095.0
553,CUNY Hunter College,554,"NEW YORK, NY",B,35,3957,1170-1350,NEW YORK, NY,1170,1350,1260.0
554,University of Rhode Island,555,"KINGSTON, RI",B,75,19652,1050-1240,KINGSTON, RI,1050,1240,1145.0
555,Washington & Jefferson College,556,"WASHINGTON, PA",B,85,26787,,WASHINGTON, PA,,,
556,Saginaw Valley State University,557,"UNIVERSITY CENTER, MI",B,73,14271,980-1190,UNIVERSITY CENTER, MI,980,1190,1085.0
557,Trevecca Nazarene University,558,"NASHVILLE, TN",B,62,18036,1070-1290,NASHVILLE, TN,1070,1290,1180.0
558,Maryville College,559,"MARYVILLE, TN",B,56,19778,1020-1270,MARYVILLE, TN,1020,1270,1145.0
559,University of Texas - Tyler,560,"TYLER, TX",B,83,7389,1070-1240,TYLER, TX,1070,1240,1155.0
560,Christian Brothers University,561,"MEMPHIS, TN",B,50,19802,,MEMPHIS, TN,,,
561,La Salle University,562,"PHILADELPHIA, PA",B,78,25059,870-1080,PHILADELPHIA, PA,870,1080,975.0
562,"Concordia University, Nebraska",563,"SEWARD, NE",B,78,21786,1060-1350,SEWARD, NE,1060,1350,1205.0
563,Oregon Institute of Technology,564,"KLAMATH FALLS, OR",B,97,16670,1000-1200,KLAMATH FALLS, OR,1000,1200,1100.0
564,Eastern Illinois University,565,"CHARLESTON, IL",B,53,14146,940-1130,CHARLESTON, IL,940,1130,1035.0
565,Central Michigan University,566,"MOUNT PLEASANT, MI",B,70,15266,990-1200,MOUNT PLEASANT, MI,990,1200,1095.0
566,Northern Arizona University,567,"FLAGSTAFF, AZ",B,85,14236,940-1160,FLAGSTAFF, AZ,940,1160,1050.0
567,Carroll College,568,"HELENA, MT",B,69,25187,1070-1290,HELENA, MT,1070,1290,1180.0
568,Georgia State University,569,"ATLANTA, GA",B,76,14136,1060-1250,ATLANTA, GA,1060,1250,1155.0
569,West Chester University of Pennsylvania,570,"WEST CHESTER, PA",B,75,19348,1030-1210,WEST CHESTER, PA,1030,1210,1120.0
570,Georgia College & State University,571,"MILLEDGEVILLE, GA",B,80,20823,1110-1260,MILLEDGEVILLE, GA,1110,1260,1185.0
571,University of Maine,572,"ORONO, ME",B,90,18002,1050-1260,ORONO, ME,1050,1260,1155.0
572,Wilkes University,573,"WILKES-BARRE, PA",B,79,27393,1020-1220,WILKES-BARRE, PA,1020,1220,1120.0
573,Indiana University - Southeast,574,"NEW ALBANY, IN",B,82,9648,930-1140,NEW ALBANY, IN,930,1140,1035.0
574,Saint Michael's College,575,"COLCHESTER, VT",B,83,30386,1060-1290,COLCHESTER, VT,1060,1290,1175.0
575,Sam Houston State University,576,"HUNTSVILLE, TX",B,83,13055,990-1140,HUNTSVILLE, TX,990,1140,1065.0
576,Southern Utah University,577,"CEDAR CITY, UT",B,78,14879,1020-1240,CEDAR CITY, UT,1020,1240,1130.0
577,University of South Carolina Aiken,578,"AIKEN, SC",B,56,15042,960-1140,AIKEN, SC,960,1140,1050.0
578,University of North Carolina Asheville,579,"ASHEVILLE, NC",B,84,13388,1090-1270,ASHEVILLE, NC,1090,1270,1180.0
579,University of Wisconsin - Milwaukee,580,"MILWAUKEE, WI",B,77,14822,,MILWAUKEE, WI,,,
580,Murray State University,581,"MURRAY, KY",B,82,11512,1040-1250,MURRAY, KY,1040,1250,1145.0
581,Florida Southern College,582,"LAKELAND, FL",B,52,25325,1120-1260,LAKELAND, FL,1120,1260,1190.0
582,Saint Francis University,583,"LORETTO, PA",B,75,29188,1030-1250,LORETTO, PA,1030,1250,1140.0
583,Penn State Erie - The Behrend College,584,"ERIE, PA",B,89,23428,1050-1280,ERIE, PA,1050,1280,1165.0
584,Winthrop University,585,"ROCK HILL, SC",B,69,19115,950-1160,ROCK HILL, SC,950,1160,1055.0
585,Drury University,586,"SPRINGFIELD, MO",B,64,19597,1040-1220,SPRINGFIELD, MO,1040,1220,1130.0
586,University of the Incarnate Word,587,"SAN ANTONIO, TX",B,94,24481,950-1160,SAN ANTONIO, TX,950,1160,1055.0
587,Eastern New Mexico University,588,"PORTALES, NM",B,58,10338,900-1110,PORTALES, NM,900,1110,1005.0
588,Walsh University,589,"NORTH CANTON, OH",B,76,20180,960-1210,NORTH CANTON, OH,960,1210,1085.0
589,University of New Orleans,590,"NEW ORLEANS, LA",B,56,10780,1020-1240,NEW ORLEANS, LA,1020,1240,1130.0
590,Indiana University - Kokomo,591,"KOKOMO, IN",B,74,8629,970-1130,KOKOMO, IN,970,1130,1050.0
591,North Carolina A&T State University,592,"GREENSBORO, NC",B,58,9097,970-1150,GREENSBORO, NC,970,1150,1060.0
592,Tennessee Technological University,593,"COOKEVILLE, TN",B,79,16634,990-1260,COOKEVILLE, TN,990,1260,1125.0
593,Bennington College,594,"BENNINGTON, VT",B,61,38386,,BENNINGTON, VT,,,
594,Winona State University,595,"WINONA, MN",B,68,16617,1000-1210,WINONA, MN,1000,1210,1105.0
595,Upper Iowa University,596,"FAYETTE, IA",B,51,20511,980-1160,FAYETTE, IA,980,1160,1070.0
596,Lander University,597,"GREENWOOD, SC",B,43,13009,940-1130,GREENWOOD, SC,940,1130,1035.0
597,Piedmont University,598,"DEMOREST, GA",B,54,19715,960-1160,DEMOREST, GA,960,1160,1060.0
598,Bay Path University,599,"LONGMEADOW, MA",B,72,22740,960-1170,LONGMEADOW, MA,960,1170,1065.0
599,California State University - San Marcos,600,"SAN MARCOS, CA",B,62,13010,950-1140,SAN MARCOS, CA,950,1140,1045.0
600,Western Carolina University,601,"CULLOWHEE, NC",B,69,12965,1020-1200,CULLOWHEE, NC,1020,1200,1110.0
601,Nevada State College,602,"HENDERSON, NV",B,85,14750,,HENDERSON, NV,,,
602,North Central College,603,"NAPERVILLE, IL",B,54,25536,1030-1260,NAPERVILLE, IL,1030,1260,1145.0
603,Drew University,604,"MADISON, NJ",B,71,28103,1030-1250,MADISON, NJ,1030,1250,1140.0
604,Roosevelt University,605,"CHICAGO, IL",B,67,24036,1010-1230,CHICAGO, IL,1010,1230,1120.0
605,Newman University,606,"WICHITA, KS",B,67,16533,980-1190,WICHITA, KS,980,1190,1085.0
606,Northwest University,607,"KIRKLAND, WA",B,93,22010,1020-1240,KIRKLAND, WA,1020,1240,1130.0
607,Meredith College,608,"RALEIGH, NC",B,65,26958,1020-1220,RALEIGH, NC,1020,1220,1120.0
608,Augusta University,609,"AUGUSTA, GA",B,76,10877,1020-1200,AUGUSTA, GA,1020,1200,1110.0
609,University of Wisconsin - Eau Claire,610,"EAU CLAIRE, WI",B,82,14010,,EAU CLAIRE, WI,,,
610,Fresno Pacific University,611,"FRESNO, CA",B,66,19298,930-1150,FRESNO, CA,930,1150,1040.0
611,Xavier University of Louisiana,612,"NEW ORLEANS, LA",B,60,18794,990-1160,NEW ORLEANS, LA,990,1160,1075.0
612,Niagara University,613,"NIAGARA UNIVERSITY, NY",B,89,18462,1020-1230,NIAGARA UNIVERSITY, NY,1020,1230,1125.0
613,Monmouth College,614,"MONMOUTH, IL",B,67,17992,950-1210,MONMOUTH, IL,950,1210,1080.0
614,University of Massachusetts - Boston,615,"BOSTON, MA",B,76,17511,1040-1220,BOSTON, MA,1040,1220,1130.0
615,Lee University,616,"CLEVELAND, TN",B,82,16949,910-1230,CLEVELAND, TN,910,1230,1070.0
616,University of Wisconsin - Stout,617,"MENOMONIE, WI",B,91,14767,,MENOMONIE, WI,,,
617,University of Tennessee - Martin,618,"MARTIN, TN",B,64,11673,975-1170,MARTIN, TN,975,1170,1072.5
618,California State University - Sacramento,619,"SACRAMENTO, CA",B,82,10271,940-1140,SACRAMENTO, CA,940,1140,1040.0
619,Chaminade University of Honolulu,620,"HONOLULU, HI",B,95,24653,980-1150,HONOLULU, HI,980,1150,1065.0
620,Wittenberg University,621,"SPRINGFIELD, OH",B,91,23060,1020-1200,SPRINGFIELD, OH,1020,1200,1110.0
621,Baker University,622,"BALDWIN CITY, KS",B,88,23629,1000-1170,BALDWIN CITY, KS,1000,1170,1085.0
622,Penn State Altoona,623,"ALTOONA, PA",B,91,21947,1000-1180,ALTOONA, PA,1000,1180,1090.0
623,University of Mary Washington,624,"FREDERICKSBURG, VA",B,75,21640,1080-1280,FREDERICKSBURG, VA,1080,1280,1180.0
624,Ramapo College of New Jersey,625,"MAHWAH, NJ",B,66,16823,1030-1230,MAHWAH, NJ,1030,1230,1130.0
625,Penn State Berks,626,"READING, PA",B,87,22393,1000-1200,READING, PA,1000,1200,1100.0
626,Quinnipiac University,627,"HAMDEN, CT",B,70,41636,1090-1260,HAMDEN, CT,1090,1260,1175.0
627,Endicott College,628,"BEVERLY, MA",B,69,36498,980-1160,BEVERLY, MA,980,1160,1070.0
628,Kettering University,629,"FLINT, MI",B,73,39255,1190-1360,FLINT, MI,1190,1360,1275.0
629,Penn State York,630,"YORK, PA",B,85,19581,1030-1300,YORK, PA,1030,1300,1165.0
630,Southern Illinois University Edwardsville,631,"EDWARDSVILLE, IL",B,86,14790,1020-1220,EDWARDSVILLE, IL,1020,1220,1120.0
631,Spring Hill College,632,"MOBILE, AL",B,50,22362,1020-1200,MOBILE, AL,1020,1200,1110.0
632,Northland College,633,"ASHLAND, WI",B,67,19822,980-1105,ASHLAND, WI,980,1105,1042.5
633,George Fox University,634,"NEWBERG, OR",B,82,30827,1030-1270,NEWBERG, OR,1030,1270,1150.0
634,Spring Arbor University,635,"SPRING ARBOR, MI",B,66,20427,980-1220,SPRING ARBOR, MI,980,1220,1100.0
635,Northwestern State University of Louisiana,636,"NATCHITOCHES, LA",B,82,12336,1010-1210,NATCHITOCHES, LA,1010,1210,1110.0
636,University of Minnesota - Morris,637,"MORRIS, MN",B,57,11682,1070-1260,MORRIS, MN,1070,1260,1165.0
637,Fontbonne University,638,"SAINT LOUIS, MO",B,79,16953,990-1100,SAINT LOUIS, MO,990,1100,1045.0
638,MidAmerica Nazarene University,639,"OLATHE, KS",B,55,25365,910-1140,OLATHE, KS,910,1140,1025.0
639,Milligan University,640,"MILLIGAN, TN",B,99,20223,1080-1280,MILLIGAN, TN,1080,1280,1180.0
640,Muskingum University,641,"NEW CONCORD, OH",B,81,19743,890-1120,NEW CONCORD, OH,890,1120,1005.0
641,Covenant College,642,"LOOKOUT MOUNTAIN, GA",B,98,24619,1100-1330,LOOKOUT MOUNTAIN, GA,1100,1330,1215.0
642,Nazareth College,643,"ROCHESTER, NY",B,64,30240,,ROCHESTER, NY,,,
643,Minneapolis College of Art & Design,644,"MINNEAPOLIS, MN",B,59,28848,1020-1240,MINNEAPOLIS, MN,1020,1240,1130.0
644,Texas A&M University - Corpus Christi,645,"CORPUS CHRISTI, TX",B,80,12916,1010-1200,CORPUS CHRISTI, TX,1010,1200,1105.0
645,Missouri State University,646,"SPRINGFIELD, MO",B,88,16134,1040-1240,SPRINGFIELD, MO,1040,1240,1140.0
646,Colorado Christian University,647,"LAKEWOOD, CO",B,100,26476,,LAKEWOOD, CO,,,
647,Webster University,648,"SAINT LOUIS, MO",B,57,23265,1010-1250,SAINT LOUIS, MO,1010,1250,1130.0
648,Huntington University,649,"HUNTINGTON, IN",B,75,22333,960-1150,HUNTINGTON, IN,960,1150,1055.0
649,Art Center College of Design,650,"PASADENA, CA",B,71,47352,,PASADENA, CA,,,
650,Oakland University,651,"ROCHESTER HILLS, MI",B,83,12843,1020-1230,ROCHESTER HILLS, MI,1020,1230,1125.0
651,Ave Maria University,652,"AVE MARIA, FL",B,85,15939,1040-1230,AVE MARIA, FL,1040,1230,1135.0
652,Presbyterian College,653,"CLINTON, SC",B,75,19778,1000-1230,CLINTON, SC,1000,1230,1115.0
653,Asbury University,654,"WILMORE, KY",B,64,22848,1050-1330,WILMORE, KY,1050,1330,1190.0
654,Trine University,655,"ANGOLA, IN",B,82,23202,1040-1260,ANGOLA, IN,1040,1260,1150.0
655,Massachusetts Maritime Academy,656,"BUZZARDS BAY, MA",B,91,15424,1020-1180,BUZZARDS BAY, MA,1020,1180,1100.0
656,Saint Mary's College - Indiana,657,"NOTRE DAME, IN",B,81,26906,1060-1250,NOTRE DAME, IN,1060,1250,1155.0
657,University of Central Oklahoma,658,"EDMOND, OK",B,84,15894,,EDMOND, OK,,,
658,Heidelberg University,659,"TIFFIN, OH",B,75,21192,950-1160,TIFFIN, OH,950,1160,1055.0
659,University of Central Missouri,660,"WARRENSBURG, MO",B,65,13098,,WARRENSBURG, MO,,,
660,Regent University,661,"VIRGINIA BEACH, VA",B,86,15062,990-1220,VIRGINIA BEACH, VA,990,1220,1105.0
661,Indiana University - East,662,"RICHMOND, IN",B,63,7110,930-1140,RICHMOND, IN,930,1140,1035.0
662,Mayville State University,663,"MAYVILLE, ND",B,70,12479,900-1230,MAYVILLE, ND,900,1230,1065.0
663,University of Louisiana - Monroe,664,"MONROE, LA",B,80,9710,850-1070,MONROE, LA,850,1070,960.0
664,Centenary College of Louisiana,665,"SHREVEPORT, LA",B,60,17409,1060-1250,SHREVEPORT, LA,1060,1250,1155.0
